,station_id,zipcode
731,3289.0,10024
732,3815.0,10022
733,3233.0,10017
734,456.0,10055
735,454.0,10022
736,533.0,10019
737,3892.0,11101
738,529.0,10036
739,3671.0,10028
740,3285.0,10024
741,4044.0,10018
742,509.0,10011
743,450.0,10019
744,3156.0,10021
745,3360.0,10024
746,4037.0,10044
747,515.0,10036
748,3391.0,10029
749,3328.0,10025
750,458.0,10001
751,3649.0,10027
752,516.0,10017
753,3495.0,10029
754,3165.0,10023
755,3390.0,10029
756,3906.0,10281
757,238.0,10014
758,3136.0,10035
759,3658.0,10011
760,3318.0,10128
761,3283.0,10024
762,3811.0,11102
763,3699.0,10019
764,3530.0,11102
765,3147.0,10028
766,530.0,10069
767,526.0,10016
768,3171.0,10024
769,3355.0,10021
770,3286.0,10128
771,3148.0,10028
772,3504.0,10035
773,4068.0,10040
774,4072.0,10036
775,3731.0,10111
776,4121.0,10016
777,465.0,10036
778,385.0,10022
779,3256.0,10282
780,513.0,10019
781,4120.0,10016
782,3813.0,10011
783,3614.0,11102
784,4117.0,11225
785,3369.0,10028
786,480.0,10019
787,3340.0,11231
788,276.0,10007
789,4038.0,11109
790,3290.0,10128
791,3350.0,10025
792,3177.0,10024
793,3394.0,11231
794,3609.0,11106
795,4225.0,11231
796,3521.0,10037
797,4122.0,10025
798,3443.0,10104
799,3378.0,10021
800,4040.0,10010
801,4110.0,10009
802,510.0,10111
803,3517.0,11101
804,3337.0,11231
805,3370.0,10021
806,3282.0,10128
807,3809.0,10019
808,3999.0,10030
809,4124.0,10025
810,3158.0,10023
811,457.0,10107
812,3462.0,10017
813,3506.0,10037
814,3152.0,10021
815,4239.0,10017
816,422.0,10023
817,4304.0,11101
818,4263.0,11103
819,4232.0,10019
820,4287.0,11101
821,4261.0,11105
822,232.0,11201
823,4254.0,11101
824,4288.0,11105
825,4270.0,11377
826,359.0,10017
827,4358.0,11218
828,3914.0,10024
829,4333.0,10003
830,3635.0,10018
831,4331.0,11101
832,4337.0,10003
833,4409.0,11232
834,4058.0,10022
835,3160.0,10024
836,4347.0,11232
837,4257.0,11101
838,512.0,10001
839,4359.0,11226
840,3437.0,10024
841,4329.0,11103
842,3374.0,10026
843,3284.0,10128
844,4360.0,11226
845,4306.0,11101
846,4279.0,10022
847,4429.0,11218
848,4400.0,11220
849,4280.0,10014
850,3904.0,11418
851,3292.0,10029
852,4238.0,10018
853,428.0,10009
854,3231.0,10021
855,4365.0,11218
856,4219.0,10001
857,4214.0,10013
858,4336.0,10003
859,4346.0,11215
860,3705.0,10012
861,4300.0,10012
862,3557.0,11101
863,3552.0,10025
864,4371.0,11232
865,4271.0,11369
866,4349.0,11215
867,3173.0,10069
868,4425.0,11222
869,4325.0,11370
870,3356.0,10023
871,4319.0,11369
872,4187.0,10038
873,4303.0,11103
874,4340.0,10002
875,3630.0,10026
876,4338.0,10002
877,4415.0,11232
878,4373.0,11232
879,4104.0,10027
880,4070.0,10033
881,4431.0,11217
882,3163.0,10023
883,537.0,10037
884,4320.0,11101
885,4265.0,11377
886,4298.0,10014
887,3079.0,11222
888,3098.0,11222
889,3090.0,11249
890,430.0,11201
891,3084.0,11211
892,3111.0,11222
893,3091.0,11222
894,3103.0,11211
895,348.0,10012
896,3222.0,11217
897,3097.0,11222
898,3089.0,11211
899,306.0,10038
900,3229.0,11216
901,3073.0,11249
902,433.0,10009
903,384.0,11238
904,3099.0,11222
905,253.0,10011
906,3237.0,11101
907,409.0,11205
908,164.0,10017
909,521.0,10018
910,357.0,10003
911,527.0,10016
912,3139.0,10021
913,511.0,10009
914,160.0,10016
915,300.0,10003
916,486.0,10019
917,523.0,10018
918,475.0,10003
919,3138.0,10075
920,345.0,10011
921,263.0,10013
922,444.0,10010
923,3120.0,11101
924,3224.0,10014
925,2004.0,10014-3621
926,153.0,10016
927,407.0,11201
928,3219.0,10009
929,3180.0,11201
930,225.0,100014
931,3114.0,11222
932,449.0,10019
933,395.0,11231
934,322.0,11231
935,3230.0,10018
936,147.0,10014
937,3155.0,10021
938,498.0,10019
939,3223.0,10022
940,2001.0,11251
941,495.0,10036
942,233.0,11201
943,3164.0,10025
944,469.0,10107
945,484.0,10036
946,3132.0,10022
947,329.0,10013
948,3175.0,10023
949,3265.0,10003
950,2023.0,10022
951,3159.0,10023
952,3250.0,10002
953,3169.0,10024
954,3166.0,10069
955,3264.0,10065
956,152.0,10007
957,3295.0,10025
958,3353.0,11231
959,3145.0,10028
960,3153.0,10021
961,3258.0,10001
962,3432.0,11215
963,3135.0,10021
964,3428.0,10011
965,520.0,10019
966,352.0,10019
967,3431.0,10016
968,3371.0,11215
969,3436.0,10013
970,3257.0,10023-5104
971,3345.0,10037
972,441.0,10022
973,3161.0,10023
974,3375.0,10035
975,3455.0,11217
976,3457.0,10022
977,488.0,10018
978,3305.0,10128
979,3238.0,10075
980,3466.0,10036
981,3458.0,XXXXXXXXX
982,3367.0,10029
983,3464.0,10018
984,266.0,10009
985,3301.0,10025
986,3441.0,10017
987,3476.0,11222
988,3459.0,10022
989,3383.0,10025
990,3474.0,10012
991,3401.0,11231
992,3293.0,10023
993,3151.0,10075
994,3131.0,10021
995,3632.0,10009
996,3490.0,10035
997,3245.0,10002
998,3548.0,11216
999,3643.0,10017
1000,3594.0,11213
1001,3592.0,11106
1002,3489.0,10038
1003,3512.0,11102
1004,3559.0,11101
1005,3644.0,11231
1006,3663.0,11217
1007,3660.0,10011
1008,3664.0,10013
1009,3659.0,10011
1010,3362.0,10028
1011,3653.0,11101
1012,3625.0,11101
1013,3680.0,10017
1014,3683.0,10009:10010
1015,3669.0,11231
1016,3695.0,10003
1017,3684.0,10014
1018,3688.0,10022
1019,3331.0,10025
1020,3167.0,10023
1021,3508.0,10027
1022,3494.0,10029
1023,3666.0,11101
1024,3547.0,10115
1025,3719.0,11217
1026,3577.0,11101
1027,3387.0,10029
1028,3541.0,10027
1029,3502.0,10037
1030,3621.0,11102
1031,3497.0,10035
1032,3545.0,10027
1033,3675.0,10035
1034,3567.0,11106
1035,3493.0,10035
1036,3564.0,11106
1037,3725.0,10035
1038,3325.0,10128
1039,3607.0,11106
1040,3515.0,11105
1041,3736.0,10009
1042,3294.0,10128
1043,3327.0,10029
1044,3735.0,10001
1045,3538.0,10025
1046,3540.0,10027
1047,3172.0,10023
1048,3986.0,10455
1049,3336.0,10029
1050,3309.0,10029
1051,3424.0,10029
1052,3993.0,10019
1053,3320.0,10025
1054,3939.0,10454
1055,3622.0,10035
1056,3302.0,10025
1057,3341.0,10025
1058,4036.0,10044
1059,3961.0,10451
1060,3934.0,10030
1061,3553.0,10026
1062,4045.0,10069
1063,3299.0,10029
1064,3949.0,10454
1065,3379.0,10029
1066,3923.0,10454
1067,3629.0,10039
1068,3946.0,10030
1069,3400.0,10029
1070,4118.0,10045
1071,3623.0,10027
1072,4004.0,10031
1073,3973.0,10031
1074,3689.0,10025
1075,3507.0,10037
1076,4043.0,10024
1077,4055.0,10032
1078,4056.0,10032
1079,3343.0,10025
1080,3894.0,10011
1081,4074.0,10032
1082,3927.0,10030
1083,3967.0,10031
1084,3366.0,10025
1085,4113.0,10035
1086,4311.0,11102
1087,3491.0,10035
1088,4284.0,11101
1089,4123.0,10025
1090,4264.0,11103
1091,4075.0,10024
1092,4248.0,10005
1093,4295.0,11370
1094,4218.0,10038
1095,4341.0,10002
1096,4339.0,10002
1097,4236.0,10019
1098,4111.0,10016
1099,4363.0,11218
1100,4421.0,11232
1101,4282.0,10014
1102,4356.0,11218
1103,4073.0,10019
1104,4414.0,11232
1105,4348.0,11215
1106,4174.0,10456
1107,4357.0,11218
1108,4305.0,11101
1109,4377.0,11218
1110,4380.0,11232
1111,4215.0,10014
1112,4351.0,11218
1113,4285.0,11103
1114,4387.0,11220
1115,4353.0,11218
1116,4290.0,11105
1117,4233.0,10016
1118,4301.0,10017
1119,4478.0,10003
1120,4436.0,11218
1121,4424.0,11209
1122,4480.0,11201
1123,4477.0,11231
1124,4309.0,11102
1125,4475.0,11215
1126,4482.0,11213
1127,4456.0,10040
1128,4426.0,10003
1129,4281.0,10014
1130,4216.0,10014
1131,4449.0,11218
1132,4193.0,10033
1133,4399.0,11220
1134,4345.0,11215
1135,4258.0,11101
1136,137.0,10022
1137,463.0,10019
1138,3176.0,10023
1139,3017.0,10001
1140,3019.0,10002-1013
1141,375.0,10003
1142,255.0,11220
1143,3291.0,10024
1144,3425.0,10029
1145,3316.0,10025
1146,3434.0,10024
1147,3240.0,XXXXXXXXX
1148,3338.0,10028
1149,3438.0,10021
1150,3446.0,XXXXXXXXX
1151,3447.0,10021
1152,3450.0,10018
1153,3445.0,10024
1154,3267.0,07302
1155,3254.0,10004
1156,3184.0,07302
1157,3511.0,10026
1158,3542.0,10115
1159,3503.0,10037
1160,3535.0,10027
1161,3509.0,10037
1162,3529.0,10027
1163,3501.0,10035
1164,3510.0,10027
1165,3205.0,07302
1166,3539.0,10027
1167,3642.0,10029
